SK_ID_CURR,NAME,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE_Revolving loans,CODE_GENDER_M,CODE_GENDER_XNA,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_Y,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE_Group of people,NAME_TYPE_SUITE_Other_A,NAME_TYPE_SUITE_Other_B,"NAME_TYPE_SUITE_Spouse, partner",NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Unemployed,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,AMT_ANNUITY_MAX,AMT_ANNUITY_SUM,AMT_ANNUITY_MEAN,AMT_CREDIT_MAX,AMT_CREDIT_SUM,AMT_CREDIT_MEAN,AMT_CREDIT_MEDIAN,LOAN_COUNT,OVERDUE_RATIO,TOTAL_OVERDUE_COUNT,AVERAGE_OVERDUE,HAS_OVERDUE,AMT_CREDIT_MAX_OVERDUE_MAX,AMT_CREDIT_MAX_OVERDUE_SUM,CNT_CREDIT_PROLONG_MAX,CNT_CREDIT_PROLONG_SUM,CNT_CREDIT_PROLONG_MEAN,AMT_CREDIT_SUM_DEBT_MAX,AMT_CREDIT_SUM_DEBT_SUM,AMT_CREDIT_SUM_DEBT_MEAN,AMT_CREDIT_SUM_LIMIT_MEAN,AMT_CREDIT_SUM_OVERDUE_MAX,AMT_CREDIT_SUM_OVERDUE_SUM,AMT_CREDIT_SUM_OVERDUE_MEAN,COUNT_Overdue_0,COUNT_Overdue_1,COUNT_Overdue_2,COUNT_Overdue_3,COUNT_Overdue_4,COUNT_Overdue_5,NFLAG_INSURED_ON_APPROVAL_COUNT,NFLAG_INSURED_ON_APPROVAL_SUM,NFLAG_INSURED_ON_APPROVAL_RATIO,AMT_APPLICATION_MAX,AMT_APPLICATION_SUM,AMT_APPLICATION_MEAN,RATE_DOWN_PAYMENT_MEAN,IS_REVOLVING_LOAN,Dependents_Index,Income_to_Dependents_Ratio,Debt_to_Income_Ratio,Debt_Repayment_Capability_Index,Credit_Utilization_Ratio
101214,Caitlin Doyle,0,1,225000.0,247500.0,12375.0,247500.0,0.019101,-15457,-1223,-5122.0,-4017,1,1,1,1,0,0,3.0,2,2,15,0,0,0,0,0,0,0.6687959070125811,0.4489622731076524,0.0,0.0,0.0,0.0,-3021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,112500.0,0.0,0.0,0.0
104387,Rhonda Griffin,0,0,112500.0,170640.0,6259.5,135000.0,0.010032,-21647,365243,-3750.0,-4522,1,0,0,1,1,0,1.0,2,2,5,0,0,0,0,0,0,0.6132560982346944,0.622922000268356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,19811.61,70762.41,14152.482,270000.0,1235235.6,102936.3,85043.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72036.0,133317.0,33329.25,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,270000.0,655443.0,109240.5,0.0702870951426484,0.0,0.0,112500.0,1.18504,0.6289992,0.7812763713080169
108386,Laila Garza,0,6,157500.0,566055.0,16551.0,472500.0,0.009175,-14946,-1493,-8560.0,-4662,1,1,0,1,1,0,8.0,2,2,17,1,0,1,1,1,0,0.7405021225019989,0.4920600938649263,0.0,0.0,0.0,0.0,-2462.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7860.285,19432.98,3886.596,652500.0,2304967.5,144060.46875,90000.0,16.0,0.0,0.0,0.0,0.0,8325.0,8325.0,0.0,0.0,0.0,142627.5,182218.725,16565.33863636364,95885.475,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,90000.0,245029.275,49005.855,0.1338746939108972,0.0,3.0,22500.0,1.1569442857142858,0.123384,0.3219099292471579
125451,Joe Cannon,0,0,112500.0,316125.0,9711.0,261000.0,0.007114,-19291,365243,-6203.0,-2822,1,0,0,1,0,0,2.0,2,2,15,0,0,0,0,0,0,0.2649155289094549,0.4382813743111921,2.0,0.0,2.0,0.0,-3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290493.0,578178.0,82596.85714285714,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112500.0,5.13936,0.0,1.8289537366548043
126005,Ellie-May Mcdaniel,1,0,112500.0,508495.5,24462.0,454500.0,0.0105,-23117,365243,-8989.0,-4733,1,0,0,1,1,0,2.0,3,3,10,0,0,0,0,0,0,0.0011978036274132,0.4294236843421945,7.0,2.0,7.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6468.75,10802.25,1200.25,157500.0,871128.0,96792.0,90000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53784.0,100525.5,20105.1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47151.0,47151.0,47151.0,0.0,0.0,0.0,112500.0,0.89356,0.09602,0.1976920149735838
129006,Keelan Gill,1,2,157500.0,1288350.0,37800.0,1125000.0,0.020713,-15873,-123,-1176.0,-1441,1,1,0,1,0,0,4.0,3,2,13,0,0,0,0,0,0,0.7014564026810571,0.5954562029091491,0.0,0.0,0.0,0.0,-1546.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17775.0,24976.44,12488.22,376200.0,1067380.56,152482.93714285715,90984.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84582.0,84582.0,21145.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,225000.0,280795.5,140397.75,0.0,0.0,1.0,52500.0,0.5370285714285714,0.1585805714285714,0.0656514146000698
164989,Anais Terrell,0,1,135000.0,312768.0,13905.0,270000.0,0.025164,-16529,-3488,-2171.0,-70,1,1,0,1,0,0,2.0,2,2,16,0,0,0,0,0,0,0.6998878897198988,0.3425288720742255,1.0,0.0,1.0,0.0,-354.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,13500.0,43700.535,8740.107,321750.0,1323834.57,110319.5475,81256.5,12.0,0.0,0.0,0.0,0.0,135.0,162.0,0.0,0.0,0.0,98356.5,98356.5,32785.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,270000.0,606126.6,75765.825,0.0726914788334682,1.0,1.0,67500.0,0.7285666666666667,0.3237076666666666,0.3144711095764272
186764,Mateo Shaffer,0,1,315000.0,900000.0,35694.0,900000.0,0.035792,-12756,-3156,-515.0,-3821,1,1,1,1,0,0,3.0,2,2,8,0,0,0,0,0,0,0.7039689582882352,0.6446794549585961,1.0,1.0,1.0,1.0,-3195.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,66892.005,146570.625,36642.65625,9436500.0,12677760.0,1811108.5714285711,270000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8818825.5,9076914.0,3025638.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,652477.5,1171008.0,292752.0,0.0247221375344022,0.0,0.5,157500.0,28.8156,0.4653035714285714,10.08546
194445,Alexandria Preston,0,0,202500.0,450000.0,48465.0,450000.0,0.0066709999999999,-14704,-1137,-14687.0,-3758,1,1,1,1,1,0,2.0,2,2,14,0,0,0,0,0,0,0.616683816204787,0.178760465484575,0.0,0.0,0.0,0.0,-1553.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29743.425,146975.355,16330.595,923832.0,2510303.4,209191.95,108391.95,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,337500.0,977069.25,108563.25,0.1000512929036817,0.0,0.0,202500.0,0.0,0.7258042222222223,0.0
202713,Blaine Chandler,0,0,112500.0,628114.5,20889.0,477000.0,0.00712,-17192,-3844,-711.0,-718,1,1,0,1,0,0,2.0,2,2,7,0,0,0,0,0,0,0.2930897022262147,0.6397075677637197,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.5,2173.5,0.0,0.0,0.0,22540.5,22540.5,7513.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112500.0,0.20036,0.0,0.0358859730192504
